Number,Microphone,ACI,ADI,AEI,BI,H,NDSI
115,SM,1635.465344,0.224247329,0.888351,3.937905726,0.323227841,-0.235855564
116,SM,1639.356851,0.845060986,0.767691,5.703730201,0.349831701,0.458517834
117,SM,1616.494416,0.631562815,0.811673,6.087505759,0.333089118,0.206647948
118,SM,1650.968461,0.293620476,0.883289,3.868338451,0.327986524,-0.219565275
119,SM,1789.075933,0.202684857,0.889888,4.426003175,0.347419588,-0.276313246
120,SM,1771.079912,0.529699948,0.858564,3.667323312,0.3621976,-0.330930728
121,SM,1752.107255,1.144031091,0.742071,6.242179113,0.400948377,0.369339189
122,SM,1765.973189,0.778346294,0.810556,6.218855006,0.393355433,0.283826559
123,SM,1776.326814,0.964386381,0.779051,6.041976428,0.403213178,0.242045852
124,SM,1791.41468,1.337971525,0.675467,8.008045349,0.42747385,0.561125045
125,SM,1777.990637,1.382672371,0.662538,6.089162696,0.420979269,0.557849334
126,SM,1735.978308,1.011614038,0.764467,7.664905945,0.400928325,0.26424635
127,SM,1728.173681,0.883395453,0.785513,7.057898231,0.398847971,0.277920709
128,SM,1773.429061,1.005455584,0.769809,4.987569026,0.391314234,0.177730075
129,SM,1780.176652,0.975018745,0.772278,4.964167765,0.395572868,0.273279583
130,SM,1796.422917,1.083877116,0.746473,4.204403693,0.399895303,0.288045125
131,SM,1797.815277,1.20961199,0.723719,4.637974966,0.405273143,0.474671199
132,SM,1813.983535,1.082616415,0.757055,5.109177404,0.392790325,0.140398393
133,SM,1823.70675,1.062654037,0.761985,5.964369636,0.394209211,0.119674329
134,SM,1817.349768,1.308784161,0.675695,7.270797442,0.413373402,0.552432825
135,SM,1812.317596,1.041465525,0.772308,7.128403881,0.435224792,0.768320386
136,SM,1801.58624,0.881233545,0.780737,7.44969357,0.421896553,0.684372948
137,SM,1771.513044,0.481793211,0.847429,8.164486857,0.398578341,0.28569467
138,SM,1716.630995,1.103901384,0.728726,7.348926144,0.395375709,0.184203913
139,SM,1712.682348,0.800011583,0.807862,6.926516678,0.397886868,0.345112851
140,SM,1614.080123,1.173972852,0.73727,8.197456122,0.398024796,0.388201913
141,SM,1630.521861,1.398757208,0.676724,8.331311705,0.409620462,0.452382412
142,SM,1693.407382,1.059380096,0.757923,5.858197703,0.404437469,0.405318716
143,SM,1774.053288,0.497007791,0.84211,4.692102644,0.389360128,0.286004001
144,SM,1759.993068,1.085605556,0.732697,4.858041888,0.381447377,0.154180859
145,SM,1798.99239,1.128212052,0.736904,5.383189668,0.396448764,0.221531141
146,SM,1827.866251,1.478594129,0.638124,3.308032729,0.410533889,0.35228796
147,SM,1812.966703,0.858521789,0.794894,5.94281548,0.380143974,0.108329916
148,SM,1838.782306,0.468158198,0.86492,3.989173779,0.344067467,-0.095538918
149,SM,1870.883354,0.663033578,0.838292,3.838519948,0.354770148,-0.046047813
150,SM,1727.626016,0.540295103,0.835471,4.029644328,0.363463197,0.065779032
151,SM,1669.182782,0.367255254,0.865666,7.125441389,0.368501924,0.039772314
152,SM,1639.139424,0.560587509,0.84395,6.799279389,0.370193086,0.006795256
153,SM,1716.124019,0.192260046,0.888484,5.720453289,0.385319568,0.166049364
154,SM,1713.164163,0.685392206,0.830151,6.92092806,0.387294959,0.136486542
155,SM,1757.863321,0.32268447,0.871964,6.938114343,0.397631725,0.220941278
156,SM,1761.980106,0.116639803,0.894444,5.202977044,0.400063087,0.023273298
157,SM,1773.228607,1.155523178,0.728596,6.964109695,0.43073897,0.514397346
158,SM,1778.945981,0.757099611,0.828608,7.90312637,0.437133185,0.734204494
159,SM,1778.453842,0.498488753,0.846829,4.656011398,0.377223601,0.072736166
160,SM,1728.977731,0.337851829,0.875333,5.527450445,0.379152277,-0.000602797
161,SM,1729.609153,0.382079687,0.864161,4.907959254,0.388925589,0.048768955
162,SM,1747.001073,0.761550204,0.795038,4.101582761,0.390082596,0.27845401
163,SM,1718.534735,0.637853426,0.829038,5.253300217,0.389110427,0.14958258
164,SM,1729.607947,0.600439385,0.839611,5.555926571,0.385368159,0.062255622
165,SM,1739.451599,0.889853125,0.786062,6.057402935,0.384485723,0.137704882
166,SM,1805.857615,1.245419506,0.701199,5.823766727,0.407358681,0.452929663
167,SM,1836.726381,0.730693178,0.814545,8.156056106,0.393738536,0.861364265
168,SM,1868.83546,0.493902648,0.860186,6.155777052,0.391217441,-0.04852839
169,SM,1807.022836,0.730047863,0.821791,6.045225098,0.385636873,0.028116291
170,SM,1781.695189,0.869896408,0.803847,5.972932489,0.401570231,-0.003183493
171,SM,1776.925203,1.192853861,0.713639,5.763666255,0.402438594,0.198076925
172,SM,1726.984798,0.81852154,0.801651,5.69838439,0.385891566,0.098771976
173,SM,1640.029964,0.422536221,0.867005,5.526955843,0.368887529,-0.052543858
174,SM,1628.717949,0.592241256,0.84317,3.845863616,0.368122125,-0.081006203
175,SM,1735.617666,0.57641655,0.849483,4.084059037,0.353787637,0.020770239
176,SM,1676.050376,0.306279368,0.880077,4.771129577,0.346350814,-0.022022875
177,SM,1609.06774,0.700610623,0.833458,4.216016803,0.360900075,0.076417364
178,SM,1633.756801,0.15118531,0.892692,5.119036806,0.358477258,-0.022881711
179,SM,1657.439053,0.327156951,0.876231,4.240810086,0.366861916,-0.06267312
180,SM,1707.573478,0.236717277,0.88496,3.54309352,0.364517263,-0.061775487
181,SM,1671.040222,1.118968076,0.739963,3.802442571,0.416130533,0.153350123
182,SM,1690.866753,1.374319885,0.671654,4.069020467,0.425006951,0.323415455
183,SM,1638.143716,1.232981234,0.712805,3.936483569,0.414329737,0.290793118
184,SM,1688.697289,1.61400897,0.603198,6.845564184,0.453222567,0.624595624
185,SM,1712.310098,1.372608612,0.689623,5.876254188,0.438721871,0.378224438
186,SM,1656.892615,1.005652678,0.774822,4.597670624,0.406452447,0.149338613
187,SM,1703.319521,1.444445598,0.660284,7.063273022,0.442751695,0.434236402
188,SM,1677.554723,1.225425146,0.724041,6.887696534,0.413799605,0.253094145
189,SM,1614.891066,1.256641294,0.720449,7.159376817,0.401254883,0.140198833
190,SM,1552.755257,0.946164975,0.793201,6.025390798,0.381461327,0.079880839
191,SM,1672.627852,0.968298122,0.779598,6.318599257,0.390041075,0.083448789
192,SM,1755.211354,1.106818424,0.758334,5.991927427,0.413199085,0.272908777
193,SM,1764.205886,1.253606409,0.719114,5.824952055,0.424329121,0.25505998
194,SM,1786.58711,1.385044672,0.684899,5.489703809,0.427913618,0.233802194
195,SM,1812.584252,0.821375207,0.808748,5.49820281,0.402766568,0.131758922
196,SM,1793.440733,1.077365926,0.761631,5.816540024,0.390181029,0.113288602
197,SM,1786.703299,1.032773464,0.770971,5.620556559,0.388072421,0.1061707
198,SM,1768.100994,0.96000429,0.782412,5.481503246,0.392931654,0.156163554
199,SM,1753.786824,0.943796746,0.783909,5.379203134,0.39807388,0.126753713
200,SM,1809.038886,1.348601765,0.69291,5.551545928,0.415559018,0.290749299
201,SM,1797.989637,1.178964229,0.731669,4.741290232,0.425940424,0.204414661
202,SM,1795.717514,1.176400589,0.731399,5.092079732,0.42589964,0.222291679
203,SM,1792.627781,1.133720722,0.737758,6.441630058,0.407719316,0.223317981
204,SM,1787.437865,1.034099977,0.764521,5.597232314,0.394703007,0.190791667
205,SM,1768.589617,0.886791891,0.788707,4.489703676,0.393571221,0.089549551
206,SM,1748.821013,0.752317115,0.817772,5.918063351,0.383745343,0.134962603
207,SM,1719.750295,0.628410673,0.832765,5.103235746,0.365559817,-0.012796098
208,SM,1719.757427,0.286691697,0.882388,2.660267153,0.366079605,-0.142309384
209,SM,1704.475883,0.494595028,0.853623,5.331122507,0.360135062,-0.103035526
210,SM,1651.000106,0.466057385,0.863096,5.226835663,0.357875318,-0.134061795
211,SM,1709.454683,0.553376334,0.854532,5.354971945,0.362294121,-0.158647233
212,SM,1707.801655,0.498851813,0.856801,5.486260734,0.360274297,-0.07245101
213,SM,1747.251094,0.300734868,0.881527,3.995462369,0.345836794,-0.176183591
214,SM,1775.014824,0.495167834,0.860249,2.712272454,0.393179418,-0.102639313
215,SM,1780.467184,0.795676821,0.814513,5.124763094,0.396885964,-0.06010302
216,SM,1798.532359,0.313926649,0.87822,3.322036059,0.390458749,-0.00791458
217,SM,1811.971189,0.723639778,0.835517,3.822620968,0.382517111,-0.005102436
218,SM,1807.385422,0.634547748,0.844547,4.475952552,0.392551439,-0.109212248
219,SM,1839.200773,1.301627757,0.709003,7.667125025,0.425990195,0.672253081
220,SM,1832.99557,1.416695206,0.66711,6.157313235,0.423958464,0.460517464
221,SM,1811.808691,0.825944749,0.811487,4.765105736,0.390587966,-0.092993185
222,SM,1849.003438,0.83785224,0.809606,6.419959136,0.396854212,-0.106616611
223,SM,1851.790192,1.415266444,0.656206,3.120174197,0.446007059,0.130582328
224,SM,1835.513185,1.380842131,0.678937,3.056281402,0.441824644,0.099992645
225,SM,1813.607377,1.050732965,0.76508,2.274324649,0.420429798,0.03369415
226,SM,1803.37882,0.443074435,0.863154,2.953003514,0.410745038,0.053012419
227,SM,1800.606462,0.697715822,0.832803,4.45021545,0.406687134,0.212659309
228,SM,1800.213896,0.947946353,0.787268,5.806244634,0.434106441,0.681546168
229,SM,1801.994967,0.655779344,0.838647,3.214772872,0.41486505,-0.033811492
230,SM,1823.501326,0.485518068,0.861529,2.648758813,0.385074148,-0.166229224
231,SM,1796.548997,0.338931852,0.878645,2.177243107,0.387961325,-0.197128025
232,SM,1807.982103,0.751917718,0.832642,2.899691709,0.413040369,-0.187081061
233,SM,1811.300308,0.486676068,0.863338,3.379917781,0.389502344,-0.173534298
234,SM,1818.320416,1.168647286,0.744244,5.179717638,0.430380897,-0.005503992
235,SM,1825.009781,1.08922114,0.767319,5.294298966,0.421592743,-0.010971292
236,SM,1796.600446,1.07677486,0.757169,6.166856552,0.423287777,0.13391078
237,SM,1782.078097,0.505391851,0.850528,4.850181862,0.404478606,0.018605656
238,SM,1758.293506,0.736752581,0.828783,4.699400364,0.394305478,0.006395293
239,SM,1869.662097,1.829040825,0.506353,13.00790342,0.555322645,0.969275757
240,SM,1779.429632,0.926557073,0.784176,5.79950158,0.413302181,0.414862416
241,SM,1746.072919,1.387035198,0.687647,8.553078825,0.454637909,0.472024219
242,SM,1714.423221,1.203166646,0.742307,8.908829492,0.434084505,0.429406827
243,SM,1685.033629,1.246335411,0.727915,7.270578927,0.406977789,0.348551071
244,SM,1662.621378,1.220909423,0.739572,8.522059223,0.401317418,0.428607342
245,SM,1689.706168,0.90729328,0.797807,6.83320131,0.384468256,0.250019417
246,SM,1730.955972,0.907965312,0.798556,6.755390966,0.385122933,0.290255749
247,SM,1766.762127,1.029584395,0.778566,6.729977206,0.386343288,0.320105553
248,SM,1785.695358,0.885361629,0.807544,6.610273723,0.375107615,0.244357683
249,SM,1735.603552,0.935330589,0.794512,6.010348223,0.373056145,0.242584019
250,SM,1710.948026,1.030222005,0.75469,5.524627123,0.378820728,0.465273017
251,SM,1617.074011,0.653816791,0.83599,5.51218529,0.370726673,0.271582022
252,SM,1661.122065,1.316123419,0.695851,7.127348761,0.428867861,0.739484031
253,SM,1631.931857,0.975197294,0.780819,4.791121917,0.408769304,0.344298199
254,SM,1592.842248,0.792106983,0.817484,3.968143001,0.402648677,0.249257839
255,SM,1625.220477,0.474686318,0.865103,4.34445636,0.387332209,0.214888915
256,SM,1620.803575,0.356758785,0.876766,4.103834392,0.371204161,0.142696641
257,SM,1651.455141,0.745562941,0.826803,5.703244333,0.392469593,0.256859859
258,SM,1675.447634,0.635169116,0.846881,4.628168582,0.39337105,0.208987954
259,SM,1695.54301,0.876332197,0.806185,6.774423177,0.406280193,0.267708937
260,SM,1735.466928,1.071736857,0.769238,5.949242519,0.411638652,0.322866868
261,SM,1720.696576,0.930525271,0.793885,6.086396905,0.406586175,0.379606588
262,SM,1693.472385,0.71709122,0.831527,5.683920997,0.396259391,0.257222985
263,SM,1752.990527,0.925372251,0.797518,4.790477813,0.405578569,0.285150272
264,SM,1661.733207,0.676352783,0.84127,3.803080062,0.398192538,0.193989809
265,SM,1741.362341,1.233274317,0.724853,6.435448245,0.414615802,0.592728353
266,SM,1696.391394,1.081871149,0.758065,6.254900852,0.409007375,0.52932991
267,SM,1670.58731,1.258904386,0.723189,5.383384427,0.435066467,0.568363399
268,SM,1679.95188,1.534528123,0.63546,5.612498622,0.468002503,0.69320719
269,SM,1686.606254,1.620470487,0.605095,5.875229138,0.473432297,0.737243694
270,SM,1698.163719,1.643591702,0.601799,6.450494262,0.470864165,0.774069293
271,SM,1652.846256,1.343349296,0.70194,4.293952278,0.449845999,0.464312044
272,SM,1715.843219,1.596670185,0.62313,5.268174363,0.465400884,0.668377976
273,SM,1742.299425,1.60261467,0.616536,5.620353154,0.476961727,0.718177929
274,SM,1715.467357,1.400007905,0.683294,4.949418174,0.448988152,0.557734298
275,SM,1703.495715,1.181592948,0.746674,4.805015099,0.43047629,0.521468735
276,SM,1700.84155,1.305553397,0.706177,5.714787299,0.430984594,0.601118929
277,SM,1721.039799,1.342953299,0.695907,3.986946437,0.428246801,0.380051443
278,SM,1751.63552,1.157811866,0.756416,4.668681613,0.423787576,0.41228797
279,SM,1783.286633,1.496563947,0.662677,3.617983074,0.447539915,0.549360262
280,SM,1771.089873,1.580597725,0.631305,3.924952815,0.452928935,0.577869414
281,SM,1790.806221,1.505817713,0.65758,3.997934219,0.454916387,0.592395169
282,SM,1784.678842,1.639543724,0.60509,4.263533118,0.46628951,0.708506641
283,SM,1773.684483,1.649573318,0.596358,4.13717997,0.460142918,0.696306051
284,SM,1759.006323,1.645819736,0.598919,4.545783828,0.450214145,0.646282342
285,SM,1733.005534,1.777551894,0.542624,3.854009561,0.458210553,0.673029624
286,SM,1638.596179,1.557597355,0.641272,3.31195752,0.430908091,0.502610019
287,SM,1662.650195,1.675649322,0.586423,4.963723754,0.449992651,0.637707792
288,SM,1667.422633,1.704284636,0.570085,5.291074655,0.457202653,0.739722084
289,SM,1820.770148,1.909898541,0.448633,5.944543515,0.50473166,0.889198652
290,SM,1795.126236,1.669233309,0.5894,3.441108385,0.465150579,0.739643788
291,SM,1814.095938,1.578559263,0.62762,4.086812262,0.452015678,0.718331242
292,SM,1812.526493,1.558771868,0.634348,4.175684147,0.448895631,0.685385775
293,SM,1817.435066,1.575056477,0.629369,3.857080458,0.448652797,0.640663147
294,SM,1809.273435,1.395930714,0.687088,3.876873428,0.444648345,0.68460855
295,SM,1810.347226,1.339886632,0.700411,3.866332339,0.455540648,0.75604205
296,SM,1814.448461,1.629477545,0.604025,5.368959243,0.481916645,0.880403591
297,SM,1820.958337,1.81869168,0.507877,6.135612179,0.490551554,0.870832076
298,SM,1820.392142,1.852713781,0.485992,6.538482096,0.496058932,0.848435943
299,SM,1809.013888,1.830676076,0.500077,4.575470091,0.486036198,0.781186719
300,SM,1783.926057,1.696756756,0.563226,6.665191673,0.469261238,0.715680651
301,SM,1750.22014,0.827059714,0.800978,6.004954724,0.362322236,0.115160648
302,SM,1768.853229,0.899144006,0.784615,6.704130134,0.366837601,0.212684525
303,SM,1747.339236,0.790537323,0.815734,8.366702942,0.354728027,0.239394321
304,SM,1723.340336,0.710594474,0.817964,8.473114229,0.341741549,0.091888149
305,SM,1691.629239,0.71862449,0.822054,6.975956347,0.34641065,0.06050045
306,SM,1689.336566,0.710179035,0.828397,6.066800705,0.349220147,0.035516979
307,SM,1716.187605,0.990824784,0.782679,4.983224923,0.37495661,0.203923489
308,SM,1738.113632,0.699200557,0.819164,6.092381778,0.355358919,0.13339
309,SM,1723.499056,0.92652062,0.794528,5.96358317,0.377135123,0.356779712
310,SM,1714.46136,0.946987571,0.793725,6.556870858,0.369036063,0.310452059
311,SM,1715.649785,0.442989088,0.861938,5.286700654,0.356370586,0.052211711
312,SM,1705.37786,0.782161964,0.812976,6.883284884,0.378775284,0.143180071
313,SM,1658.620018,0.546970441,0.848738,6.877238693,0.386751746,0.046702838
314,SM,1722.116865,0.574624472,0.852266,5.725257487,0.363146737,0.183350321
315,SM,1724.81685,1.136869282,0.752074,5.726113149,0.391128203,0.37925901
316,SM,1753.173738,1.190526542,0.745658,7.332228478,0.398828521,0.50362464
317,SM,1769.141649,1.271691837,0.720517,6.14281224,0.414061267,0.591159218
318,SM,1775.312456,1.41971223,0.679817,7.660180811,0.422776697,0.515758783
319,SM,1781.658272,1.050285226,0.767857,6.168375796,0.405780195,0.351888823
320,SM,1866.485924,0.730611711,0.823576,6.085048879,0.36283112,0.308727954
321,SM,1844.546614,0.880532606,0.805463,5.912689888,0.371621554,0.255573932
322,SM,1697.684488,0.927603762,0.791339,5.929618916,0.365415521,0.223306759
323,SM,1707.173717,0.810405053,0.817461,5.094802313,0.368652322,0.27953958
324,SM,1705.659132,1.163632819,0.751139,6.700755004,0.38668849,0.445784547
325,SM,1724.464932,1.037649646,0.758074,6.166170772,0.379643365,0.265087729
326,SM,1629.045987,0.594161528,0.846451,5.749274641,0.359726276,0.091691816
327,SM,1562.594279,0.739871446,0.827202,6.126817524,0.354778975,0.192902205
328,SM,1643.107977,0.473974945,0.861754,5.327810968,0.349371543,0.093649855
329,SM,1545.139306,0.314354634,0.88017,6.063470374,0.320797024,-0.012091743
330,SM,1550.87083,0.27523189,0.881387,4.76406166,0.336748014,-0.024381738
331,SM,1666.973959,0.524137691,0.854345,5.16228213,0.348507455,0.010533482
332,SM,1754.279896,1.150892701,0.714099,8.683711338,0.376388671,0.296215435
333,SM,1785.27603,0.694684999,0.827831,5.725095619,0.368216552,0.114658207
334,SM,1775.295775,1.039912205,0.757227,6.20773624,0.386262166,0.257634488
